"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1615863600000,54088.52,54835.06,53616.3,54564.51,16570.94,898604178.87,"direct","",1615863600,"2021-03-15"
1615874400000,55888.14,56088.42,53662.55,54088.52,24700.45,1362717876.86,"direct","",1615874400,"2021-03-16"
1615885200000,55463.64,56387.37,55102.17,55888.14,19833.91,1105913399.41,"direct","",1615885200,"2021-03-16"
1615896000000,55646.4,55887.58,54625.2,55463.64,17171.89,950007270.25,"direct","",1615896000,"2021-03-16"
1615906800000,55256.09,56056.55,54974.5,55646.4,17390.61,966727433.02,"direct","",1615906800,"2021-03-16"
1615917600000,56367.43,56420.63,55111.08,55256.09,12019.71,670634605.69,"direct","",1615917600,"2021-03-16"
1615928400000,56900.44,56922.18,56083.26,56367.43,11380.47,642694058.73,"direct","",1615928400,"2021-03-16"
1615939200000,55786.64,57167.68,55647.56,56900.44,14168.99,798548906.01,"direct","",1615939200,"2021-03-16"
1615950000000,55948.55,56143.7,55204.17,55786.64,12364.16,688477137.76,"direct","",1615950000,"2021-03-16"
1615960800000,55782.61,56324.22,55631.44,55948.55,13184.66,737930193.47,"direct","",1615960800,"2021-03-17"
1615971600000,54823.24,55869.09,54414.79,55782.61,18381.15,1011640797.74,"direct","",1615971600,"2021-03-17"
1615982400000,54554.46,55402.17,54143.13,54823.24,18914.12,1038158303.04,"direct","",1615982400,"2021-03-17"
1615993200000,55522.79,55647.29,54318.8,54554.46,15562.3,857714923.54,"direct","",1615993200,"2021-03-17"
1616004000000,57715.39,58294.94,55522.79,55522.79,27621.34,1584702615.99,"direct","",1616004000,"2021-03-17"
1616014800000,58899.78,58958.08,57606.27,57715.39,17468.27,1021434186.61,"direct","",1616014800,"2021-03-17"
1616025600000,59009.7,59517.01,58729.72,58899.78,17490.33,1034352245.88,"direct","",1616025600,"2021-03-17"
1616036400000,58963.12,59189.14,58618.43,59009.7,11066.58,651450674.37,"direct","",1616036400,"2021-03-17"
1616047200000,58007.88,59062.09,57944.45,58963.12,14127.67,826340138.02,"direct","",1616047200,"2021-03-18"
1616058000000,58177.78,58650.91,57884.61,58007.88,12794.7,745838534.93,"direct","",1616058000,"2021-03-18"
1616068800000,57866.64,58181.69,57525.39,58177.78,16055.48,929144649.35,"direct","",1616068800,"2021-03-18"
1616079600000,59248.22,60073.5,57703.91,57866.64,28178.36,1672233004.13,"direct","",1616079600,"2021-03-18"
1616090400000,57507.43,59301.65,57037.19,59248.22,19591.83,1136698274.95,"direct","",1616090400,"2021-03-18"
1616101200000,57651.29,58127.1,57374.22,57507.43,9512.84,549905624.5,"direct","",1616101200,"2021-03-18"
1616112000000,57358.6,57738,56375.07,57651.29,15204.29,867442461.55,"direct","",1616112000,"2021-03-18"
1616122800000,58356.63,58382.96,57302.34,57358.6,11594.17,670743523.77,"direct","",1616122800,"2021-03-18"
1616133600000,58331.62,58557.82,57510.08,58356.63,13668.13,794644166.22,"direct","",1616133600,"2021-03-19"
1616144400000,58811.05,58871.66,58121.07,58331.62,12532.21,733447616.86,"direct","",1616144400,"2021-03-19"
1616155200000,58726.75,59242.78,57956.39,58811.05,15975.69,936566966.66,"direct","",1616155200,"2021-03-19"
1616166000000,58874.45,59158.63,58513.32,58726.75,13776.03,811091642.9,"direct","",1616166000,"2021-03-19"
1616176800000,58372.56,59458.54,58112.84,58874.45,14130.7,830605920.44,"direct","",1616176800,"2021-03-19"
1616187600000,58038.36,58750.43,58007.38,58372.56,7639.04,445899393.87,"direct","",1616187600,"2021-03-19"
1616198400000,58548.12,58910.38,57831.32,58038.36,10636.18,622019544.43,"direct","",1616198400,"2021-03-19"
1616209200000,58132.54,58605.77,58057.8,58548.12,7882.77,459844108.55,"direct","",1616209200,"2021-03-19"
1616220000000,58673.89,58800.9,58001.78,58132.54,13033.41,762752429.45,"direct","",1616220000,"2021-03-20"
1616230800000,59234.85,59295.97,58583.74,58673.89,11759.64,692426875.17,"direct","",1616230800,"2021-03-20"
1616241600000,59355.42,59880.34,58661.46,59234.85,25331.89,1501029341.92,"direct","",1616241600,"2021-03-20"
1616252400000,59135.55,59705,58928.85,59355.42,17998.42,1066636079.62,"direct","",1616252400,"2021-03-20"
1616263200000,58516.66,59460.73,58136.76,59135.55,14445.6,851353199.89,"direct","",1616263200,"2021-03-20"
1616274000000,58115.36,58801.01,57993.4,58516.66,9387.54,548526881.69,"direct","",1616274000,"2021-03-20"
1616284800000,57609.44,58587.46,57485.86,58115.36,13361.68,775898742.51,"direct","",1616284800,"2021-03-20"
1616295600000,57119.38,57837.37,56733.66,57609.44,15897.32,910455076.96,"direct","",1616295600,"2021-03-20"
1616306400000,57157.48,57357.29,56669.32,57119.38,12131.12,692909179.02,"direct","",1616306400,"2021-03-21"
1616317200000,56260.47,57254.66,55619.73,57157.48,20889.96,1174063825.91,"direct","",1616317200,"2021-03-21"
1616328000000,57173.32,57322.06,55873.64,56260.47,15526.87,880624087.16,"direct","",1616328000,"2021-03-21"
1616338800000,57248.15,57515.37,56810.81,57173.32,12208.9,698495543.48,"direct","",1616338800,"2021-03-21"
1616349600000,57756.96,57981.14,57193.44,57248.15,10000.79,575829020.44,"direct","",1616349600,"2021-03-21"
1616360400000,57347.27,58101.37,57180.6,57756.96,9001.49,519209289.3,"direct","",1616360400,"2021-03-21"
1616371200000,56965.99,57435.14,56295.99,57347.27,12905.4,732386759.1,"direct","",1616371200,"2021-03-21"
